"Display Name ","Inventory Item: Size ","Inventory Item: Wheel Size ","Inventory Item: Price Point ","Inventory Item: Web Category ",Current Quantity Available
Merida21 Matts 6.5 V 17in Glossy Teal Blue Black,WMD,"26""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/26"" Wheel (145 - 160cm)",2
Merida21 Speeder 20 W WMD Matt Blue White,WMD,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Pedal Uptown Classic Blue  19in,WMD,700c,Bikes 0 - 0400,Root Catalog/Bikes/Cruiser Bikes,1
Pedal Uptown Classic Black  19in,WMD,700c,Bikes 0 - 0400,Root Catalog/Bikes/Cruiser Bikes,1
Pedal Uptown Classic Green  19in,WMD,700c,Bikes 0 - 0400,Root Catalog/Bikes/Cruiser Bikes,1
Pedal Uptown Classic White  19in,WMD,700c,Bikes 0 - 0400,Root Catalog/Bikes/Cruiser Bikes,1
Pedal Uptown Classic Rose Gold  19in,WMD,700c,Bikes 0 - 0400,Root Catalog/Bikes/Commuter & Recreation Bikes,1
Pedal Uptown DLX Rose Gold 18in,WMD,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Cruiser Bikes,1
Pedal Uptown DLX Mint Green 18in,WMD,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Cruiser Bikes,2
Pedal Jet 2  Mint WMD,WMD,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Speeder 10 V W WMD Glossy Grey Black Teal,WMD,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Pedal Ranger 3 Lilac Teal 17in,WMD,"27.5"" (650b)",Bikes 0 - 0400,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Matts 7.10 D 17in Blue Teal,WMD,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,2
Pedal Uptown DLX Light Blue 16.5in,WSM,,Bikes 0400 - 0700,Root Catalog/Bikes/Cruiser Bikes,1
Silverback 21 Splash Delight 27 38cm Watermelon,WSM,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Silverback 21 Splash 27.5 Se 38cm Black/Watermelon,WSM,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Bike18 Norco Yorkville ST C2 Blue Silver WSM,WSM,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Bike18 Norco Yorkville ST C1 Black Silver WSM,WSM,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,2
19Apollo Trace 10 WS Matte Charcoal Black Pink 17in,WSM,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Bike18 Norco Scene 3 Raspberry Pink WSM,WSM,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
19Apollo Trace 20 WS Matte Charcoal Black Turquoise 17in,WSM,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Pedal Uptown ELC Sage,WSM,,Bikes 1000 - 1500,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
19Apollo Summit 10 Gloss Silver White Blue 14in,WSM,"26""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/26"" Wheel (145 - 160cm)",1
Merida21 Matts 6.5 V 15in Glossy Teal Blue Black,WSM,"26""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/26"" Wheel (145 - 160cm)",4
Merida21 Speeder 20 W WSM Matt Blue White,WSM,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Pedal Uptown Classic Blue  17in,WSM,700c,Bikes 0 - 0400,Root Catalog/Bikes/Cruiser Bikes,1
Pedal Uptown Classic Green  17in,WSM,700c,Bikes 0 - 0400,Root Catalog/Bikes/Cruiser Bikes,1
Pedal Uptown Classic White  17in,WSM,700c,Bikes 0 - 0400,Root Catalog/Bikes/Cruiser Bikes,1
Apollo Villa Purple 16.5in,WSM,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Cruiser Bikes,1
Bike Pedal Uptown DLX  Black 16in,WSM,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Cruiser Bikes,1
Pedal Uptown DLX Rose Gold 16.5in,WSM,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Cruiser Bikes,2
Pedal Uptown DLX Mint Green 16.5in,WSM,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Cruiser Bikes,1
Merida21 Crossway 20 47cm Blue Steel Blue White,WSM,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Crossway 10 V 46cm Silk Anthracite Grey Black,WSM,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,2
Merida21 Speeder 10 V W WSM Glossy Grey Black Teal,WSM,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,2
Merida21 Crossway 100 47cm Teal Blue Silver Blue Lime,WSM,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Scultura Rim 100 W WSM Blue White,WSM,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Road Bikes/Drop Bar Road,2
Pedal Comet ST Black Orange 46cm,WSM,700c,Bikes 1000 - 1500,Root Catalog/Electric Bikes/Electric Hybrid Bikes,2
Merida21 Crossway 500 47cm Glossy Black Matt Silver,WSM,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 eSpresso 300 SE EQ 504Wh W WSM Silk Green Black,WSM,700c,Bikes 3000 - 4000,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
Silverback 21 Splash Comp 29 38cm Blue / Sky Blue,WSM,"29"" / 27.5""",Bikes 0700 - 1000,,2
Merida21 Matts 7.10 D 15in Blue Teal,WSM,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,2
Velectrix Urban+ Step Through Grey 2020 42cm,WXS,,Bikes 2000 - 3000,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
Merida21 Matts 6.5 V 13.5in Black Teal,WXS,"26""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/26"" Wheel (145 - 160cm)",1
Merida21 Matts 6.5 V 13.5in Glossy Teal Blue Black,WXS,"26""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/26"" Wheel (145 - 160cm)",2
Merida21 Crossway 20 43cm Blue Steel Blue White,WXS,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Crossway 10 V 42cm Silk Anthracite Grey Black,WXS,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,2
Pedal Jet 2  Mint WXS,WXS,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Speeder 10 V W WXS Glossy Grey Black Teal,WXS,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Crossway 100 43cm Teal Blue Silver Blue Lime,WXS,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Pedal Ranger 3 Lilac Teal 13in,WXS,"27.5"" (650b)",Bikes 0 - 0400,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco 21 Storm 4 27 WXS Charcoal/Jade,WXS,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Matts 7.10 D 13.5in Blue Teal,WXS,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco 21 Storm 5 27 WXS Ultraviolet/Pink,WXS,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco 2021 Storm 5 27.5 XXS Silver/Black,XXS,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco 21 Storm 5 27 WXXS Ultraviolet/Pink,WXXS,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Speeder 20 MD/LG Anthracite Black,MD/LG,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,2
Merida21 Crossway 10 V MD/LG Silk Anthracite Grey Black,MD/LG,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Speeder 10 V MD/LG Matt Black Silver,MD/LG,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,2
Pedal Raider 2 Navy Tan 55cm,MD/LG,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Road Bikes/Drop Bar Road,1
Merida21 Scultura Rim 100 MD/LG Silk Titan Black Green,MD/LG,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Road Bikes/Drop Bar Road,1
Merida21 Speeder 200 MD/LG Golden Red Black,MD/LG,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Scultura Rim 400 MD/LG Metallic Black Grey,MD/LG,700c,Bikes 1500 - 2000,Root Catalog/Bikes/Road Bikes/Drop Bar Road,1
Merida21 Speeder 400 MD/LG Silk Teal Lime Black,MD/LG,700c,Bikes 1500 - 2000,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Scultura 400 MD/LG Golden Red Grey,MD/LG,700c,Bikes 2000 - 3000,Root Catalog/Bikes/Road Bikes/Drop Bar Road,1
Merida21 Speeder 20 SM/MD Anthracite Black,SM/MD,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Crossway 10 V SM/MD Silk Anthracite Grey Black,SM/MD,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Speeder 10 V SM/MD Matt Black Silver,SM/MD,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Pedal Raider 2 Navy Tan 52cm,SM/MD,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Road Bikes/Drop Bar Road,1
Merida21 Speeder 200 SM/MD Golden Red Black,SM/MD,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,2
Merida21 Speeder 100 SM/MD Dark Blue Blue White,SM/MD,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Scultura 400 SM/MD Golden Red Grey,SM/MD,700c,Bikes 2000 - 3000,Root Catalog/Bikes/Road Bikes/Drop Bar Road,1
GT21 Siren 12 F Purple 12in,12inch,"12""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/12"" Wheel (78 - 94cm)",1
Mongoose 12 F LilGoose Pink 2020,12inch,"12""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/12"" Wheel (78 - 94cm)",2
Merida 22 Matts J12  Glossy Orange/Red,12inch,"12""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/12"" Wheel (78 - 94cm)",2
Merida 22 Matts J12  Silk Teal /Yellow,12inch,"12""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/12"" Wheel (78 - 94cm)",1
Mongoose 12 M LilGoose Black/Blue 2019,12inch,"12""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/12"" Wheel (78 - 94cm)",1
Mongoose 12 M LilGoose Silver/Red 2020,12inch,"12""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/12"" Wheel (78 - 94cm)",2
Pedal Hoot Alloy  Blue 16in,16inch,"16""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",3
Mongoose 16 M MityGoose Red 2020,16inch,"16""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",1
Mongoose 16 M MityGoose Blue 2020,16inch,"16""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",2
Pedal Hoot Alloy  Pink White 16in,16inch,"16""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",3
Mongoose 16 F MissyGoose Blue 2020,16inch,"16""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",1
Mongoose 16 F MissyGoose Pink 2020,16inch,"16""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",2
Mongoose 16 M MityGoose Green 2020,16inch,"16""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",1
Mongoose 16 M MityGoose Silver 2020,16inch,"16""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",1
Mongoose 16 F MissyGoose Purple 2020,16inch,"16""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",2
Neo 16  Brushed Alloy Blue Black 2020,16inch,"16""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",3
Neo 16  Brushed Alloy Pink White 2020,16inch,"16""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",1
Neo 16  Brushed Alloy Orange Black 2020,16inch,"16""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",2
Neo 16  Brushed Alloy Purple White 2020,16inch,"16""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",3
Merida 22 Matts J16  Green /Black,16inch,"16""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",1
Merida 22 Matts J16  Pink /Blue/White,16inch,"16""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",2
Colony Horizon 16inch Black Polished 2020,16inch,"16""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",1
Merida 22 Matts J16  Dark Blue /Yellow/Blue,16inch,"16""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",2
Mongoose Legion L18 Silver 2020,18inch,"18""",Bikes 0 - 0400,Root Catalog/Bikes/Kids Bikes/Kids BMX,1
Academy 21 Origin 18in Gloss Black Polished,18inch,"18""",Bikes 0 - 0400,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,1
Colony Horizon 18inch Black Polished 2020,18inch,"18""",Bikes 0400 - 0700,Root Catalog/Bikes/Kids Bikes/Kids BMX,1
Mongoose21 Legion L20 Green 20in,20inch,"20""",Bikes 0 - 0400,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,1
Division21 Blitzer 20 Metallic Blue,20inch,"20""",Bikes 0 - 0400,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,1
Division Blitzer 20inch Black Polished 2020,20inch,"20""",Bikes 0 - 0400,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,1
GT 21 Siren 20  Purple,20inch,"20""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",3
GT Grunge 20 Gloss Black 2020,20inch,"20""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",1
Mongoose 20 M Racer X Red 2020,20inch,"20""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",2
Pedal Uptown Jnr 20 Mint Green,20inch,"20""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",3
Mongoose 20 F LadyGoose Teal 2020,20inch,"20""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",3
Pedal Bam Alloy  Purple White 20in,20inch,"20""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",1
Mongoose 20 F LadyGoose Purple 2020,20inch,"20""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",3
Neo 20  Brushed Alloy Red Black 2020,20inch,"20""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",2
Neo 20  Brushed Alloy Pink White 2020,20inch,"20""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",1
Neo 20  Brushed Alloy Lavender White 2020,20inch,"20""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",1
Mongoose21 Legion L80 Blue 20in,20inch,"20""",Bikes 0400 - 0700,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,1
Academy 21 Aspire 20in Orange Crackle,20inch,"20""",Bikes 0400 - 0700,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,3
Academy 21 Aspire 20in Trans Dark Red,20inch,"20""",Bikes 0400 - 0700,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,1
Division21 Brookside 20 Black Teal Fade,20inch,"20""",Bikes 0400 - 0700,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,1
Division Reark 20inch Black Polished 2020,20inch,"20""",Bikes 0400 - 0700,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,1
Academy 21 Entrant 20in Dark Grey Polished,20inch,"20""",Bikes 0400 - 0700,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,1
Academy 21 Entrant 20in Gloss Black Rainbow,20inch,"20""",Bikes 0400 - 0700,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,3
Merida 22 Matts J20 Lite  Berry/Pink,20inch,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",1
Merida 22 Matts J20 Lite  Green/Red/Green,20inch,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",2
Cult21 Control 20 Black,20inch,"20""",Bikes 0700 - 1000,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,1
Cult21 Gateway 20 Black,20inch,"20""",Bikes 0700 - 1000,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,1
Cult21 Gateway 20 White,20inch,"20""",Bikes 0700 - 1000,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,1
Cult21 Control 20 Gloss Raw,20inch,"20""",Bikes 0700 - 1000,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,1
Colony21 Premise 20 Gloss Black Polished,20inch,"20""",Bikes 0700 - 1000,Root Catalog/Bikes/BMX Bikes/Freestyle BMX,1
Pedal Zap  Black Yellow 20-G,20inch - G,"20""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",4
Norco Storm 2.3  Purple 2021,20inch - G,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",1
Mongoose21 Rockadile 20 F Silver,20inch - G,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",2
Merida 22 Matts J20  Red /Orange/Black,20inch - G,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",2
Merida 22 Matts J20  Orange /Blue/White,20inch - G,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",3
Neo 20 6s  Brushed Alloy Black Red 2020,20inch - G,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",2
Neo 20 6s  Brushed Alloy Lime Black 2020,20inch - G,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",2
Merida 22 Matts J20  Barbie Blue /Pink/Grey,20inch - G,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",2
Merida 22 Matts J20  Candy Pink /Light Blue,20inch - G,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",1
Neo 20 6s  Brushed Alloy Navy Blue Lavender 2020,20inch - G,"20""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",1
Pedal Crush  Blue Orange 24-G,24inch - G,"24""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",4
Pedal Crush  Turquoise Pink 24-G,24inch - G,"24""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",5
Pedal Uptown Kids Rose Gold 24-G,24inch - G,"24""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",1
Merida 22 Matts J24  Black/Grey/Red,24inch - G,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",1
Merida 22 Matts J24  Teal/Dark Teal,24inch - G,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",2
Neo 24 7s  Brushed Alloy Black Red 2020,24inch - G,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",4
Merida 22 Matts J24  Dark Blue /Red/Blue,24inch - G,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",1
Neo 24 7s  Brushed Alloy Purple Blue 2020,24inch - G,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",2
Merida 22 Matts J24 Lite  Anthracite /Pink,24inch - G,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",2
Merida 22 Matts J24  Pink /Barbie Blue/Grey,24inch - G,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",2
Neo 24 7s  Brushed Alloy Sky Blue Charcoal 2020,24inch - G,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",2
Merida 22 Matts J24 Lite  Matt Black /Green/White,24inch - G,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",1
Neo 24 7s  Brushed Alloy Navy Blue Neon Green 2020,24inch - G,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",2
Silverback 21 Skid 24D Se Suspension UNI Charcoal /  Lime,24inch - G,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",1
Cruzee Bike Rose Gold,Kids Balance,,Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/12"" Wheel (78 - 94cm)",1
Cruzee Bike Red,Kids Balance,"12""",Bikes 0 - 0400,Root Catalog/Bikes/Kids Bikes/Balance Bikes,4
Cruzee Bike Blue,Kids Balance,"12""",Bikes 0 - 0400,Root Catalog/Bikes/Kids Bikes/Balance Bikes,2
Cruzee Bike Gold,Kids Balance,"12""",Bikes 0 - 0400,Root Catalog/Bikes/Kids Bikes/Balance Bikes,2
Cruzee Bike Pink,Kids Balance,"12""",Bikes 0 - 0400,Root Catalog/Bikes/Kids Bikes/Balance Bikes,3
Cruzee Bike Black,Kids Balance,"12""",Bikes 0 - 0400,Root Catalog/Bikes/Kids Bikes/Balance Bikes,2
Cruzee Bike Green,Kids Balance,"12""",Bikes 0 - 0400,Root Catalog/Bikes/Kids Bikes/Balance Bikes,5
Cruzee Bike Purple,Kids Balance,"12""",Bikes 0 - 0400,Root Catalog/Bikes/Kids Bikes/Balance Bikes,2
Pedal Glide Alloy Pink Balance,Kids Balance,"12""",Bikes 0 - 0400,Root Catalog/Bikes/Kids Bikes/Balance Bikes,1